Number of points,Value of pi,,Mean,Std. Dev.
900,3.15083344750072,,,
894,3.15095185359185,,,
891,3.15101165870229,,,
911,3.15236208388257,,,
908,3.15242548733638,,,
916,3.15399125588762,,,
910,3.1541286772157,,,
907,3.15419807498637,,,
904,3.15426793695618,,,
924,3.15553139811233,,,
921,3.15560437693696,,,
918,3.15567783667642,,,
909,3.15590114939519,,,
906,3.15597658112601,,,
950,3.15659296111071,,,
938,3.15689339485391,,,
923,3.1572800186054,,,
920,3.15735886950209,,,
917,3.15743824086674,,,
905,3.15776103544672,,,
949,3.15829586392374,,,
946,3.15837582078105,,,
937,3.15861879145732,,,
934,3.15870083179912,,,
925,3.15895017535839,,,
922,3.1590343816945,,,
919,3.15911914293233,,,
951,3.15991919183896,,,
948,3.16000420732084,,,
945,3.16008976777375,,,
939,3.16026254468833,,,
936,3.16034977186851,,,
933,3.16043756545895,,,
927,3.16061487408278,,,
953,3.16153735813919,,,
947,3.1617180174168,,,
944,3.16180921700397,,,
941,3.1619010040281,,,
935,3.16208636323727,,,
932,3.16217994703313,,,
929,3.16227414148996,,,
926,3.16236895260445,,,
958,3.16305595372826,,,
952,3.16324542256722,,,
943,3.16353419500986,,,
940,3.16363169452275,,,
931,3.16392800411731,,,
928,3.16402806509151,,,
960,3.164658939259,,,
957,3.16475830405534,,,
954,3.16485830074228,,,
942,3.16526472850047,,,
930,3.16568176448726,,,
959,3.1663611323633,,,
956,3.16646605866917,,,
961,3.16795889644279,,,
955,3.16817924334537,,,
963,3.16955162025706,,,
962,3.17125885362659,,,
964,3.17284637246106,,,
965,3.17614112466507,,,
966,3.17943587686908,,,
977,3.18056154103863,,,
971,3.18085825811885,,,
976,3.1822673045444,,,
970,3.18257521623328,,,
967,3.18273062907309,,,
978,3.18382031310936,,,
975,3.18397840690309,,,
972,3.1841374934365,,,
969,3.1842975820898,,,
974,3.18569487321902,,,
968,3.1860253812771,,,
979,3.1870790851801,,,
973,3.18741672875415,,,
981,3.18862217974319,,,
983,3.19016047463423,,,
980,3.19033785725084,,,
982,3.19187587584497,,,
984,3.19340911055545,,,
994,3.19607209100243,,,
985,3.19665774647667,,,
999,3.19738520175964,,,
993,3.19778073173338,,,
998,3.19908798563739,,,
995,3.19929069330958,,,
992,3.19949465419767,,,
986,3.19990638239788,,,
1000,3.20058899454697,,,
997,3.20079600885015,,,
991,3.20121388292345,,,
988,3.20142476657845,,,
996,3.20250929561673,,,
990,3.20293844259102,,,
987,3.2031550183191,,,
989,3.20466835803395,,,
